Food,Price Per Serving [$],Variable Name,Serving Size,Weight [g],Weight [oz],Calcium [mg],percent water,Energy [kcal],Protein [g],Carbohydrate [g],Fiber [g],Cholesterol [mg],Total Fat [g],Iron [mg],Magnesium [mg],Sodium [mg],Phosphorous [mg],Potassium [mg],Zinc [mg],Niacin [mg],Thiamin [mg],Riboflavin [mg],Vit A [RE],Vit B6 [mg],Vit C [mg],Food type
Lamb - Chops lean and fat,0.69,lambChops,2.2 oz,63,2.222262,16,44,220,20,0,0,77,15,1.5,11,46,132,195,2.9,4.4,0.04,0.16,0,0.11,0,MEAT
Lamb leg roasted lean and fat,0.76,lambRoasted,3 oz,85,2.99829,8,59,205,22,0,0,78,13,1.7,20,57,162,273,3.8,5.5,0.09,0.25,0,0.17,0,MEAT
Lard,0.45,lard,1/4 cup,54,1.904796,0,0,453,0,0,0,49,51,0,0,0,1,0,0,0,0,0,0,0,0,FATS AND OILS
Lemonade concentrate,0.41,lemon,3/4 cup,219,7.725006,15,52,397,0.6,103,0.9,0,0.4,1.6,11,8,19,148,0.2,0.16,0.06,0.21,21,0.06,39,BEVERAGES
Lettuce Butterhead/Boston,0.35,lettuce,1 head,163,5.749662,52,96,21,2.1,3.8,2.7,0,0.4,0.5,18,8,38,419,0.4,0.49,0.1,0.1,158,0.11,13,VEGETABLES AND LEGUMES
"Lima Beans, thick seeded",0.87,limaBeans,1/2 cup,85,2.99829,19,74,85,5.2,16,4.6,0,0.3,1.2,29,45,54,347,0.4,0.91,0.06,0.05,16,0.1,11,VEGETABLES AND LEGUMES
Lucky Charms cereal,0.2,cereal,1 cup,32,1.128768,36,3,125,2.9,26.1,0.7,0,1.2,5.1,27,227,88,66,0.6,5.6,0.4,0.5,424,0.6,17,GRAIN PRODUCTS
"Macaroni, cooked firm stage hot",0.43,macSalad,1 cup,130,4.58562,14,64,190,6.5,39.1,1,0,0.7,2.1,17,1,85,103,0.6,1.82,0.23,0.13,0,0.1,0,GRAIN PRODUCTS
Mango raw edible part,1.9,mango,1 ea,207,7.301718,21,82,135,1.1,35.2,2.9,0,0.6,0.3,18,4,22,323,0.1,1.21,0.12,0.12,806,0.28,57,FRUITS
"Margarine - Regular, hard",1.29,margarine,1/2 cup,113,3.985962,34,16,812,1,1,0,0,91,0.1,3,1066,26,48,0.2,0.03,0.01,0.04,1122,0.01,0,FATS AND OILS
Marshmallows,0.13,marshmallow,4 ea,28,0.987672,2,17,90,0.6,23,0,0,0,0.1,1,55,23,91,0,0.2,0.01,0.01,0,0.01,0,SWEETENERS AND SWEETS
"Melba toast, plain",0.07,melbaToast,1 pce,5,0.17637,6,4,20,1,4,0.1,0,0.3,0.1,30,44,10,11,0.4,0.1,0.01,0.01,0,0.01,0,BAKED GOODS
Milk - 2% Low Fat,0.36,twoMilk,1 cup,244,8.606856,297,89,121,8.1,11.7,0,22,4.8,0.1,33,122,232,377,1,0.21,0.1,0.4,140,0.1,2,DAIRY
Milk - Whole,0.36,wholeMilk,1 cup,244,8.606856,291,88,150,8,11.4,0,33,8.1,0.1,33,120,228,370,0.9,0.2,0.09,0.4,76,0.1,2,DAIRY
Mixed grain toasted,0.35,mixedToast,1 pce,23,0.811302,273,27,65,2,12,1,0,0.9,0.8,12,106,55,56,0,1.1,0.08,0.1,0,0.02,0,BAKED GOODS
